User-Facing Module Name,Technical Module Name,User-Facing Field Name,Technical Field Name,Data Source / Type,Primary Linkage (if applicable),Change Type,Notes / UI Consideration,helper
Star-School Associations,star_school,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Star-School AssociationsModified By
Star-School Associations,star_school,Created Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Star-School AssociationsCreated Time
Star-School Associations,star_school,Last Activity Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Star-School AssociationsLast Activity Time
Star-School Associations,star_school,Modified Time,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Star-School AssociationsModified Time
Products,products,Product Record ID (Zoho ID),product_id (represents Zoho PK),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this Product record.,ProductsProduct Record ID (Zoho ID)
Products,products,Product Name,name,Stored (Text),,Data exists,"Mandatory. e.g., ""Algebra 1 Course,"" ""Robotics Club Kit.""",ProductsProduct Name
Products,products,Description,description,Stored (Text),,Data exists,,ProductsDescription
Products,products,Link,link,Stored (URL),,Data exists,,ProductsLink
Products,products,Product Type,product_type,Stored (Picklist),,Data exists,Course; Camp; Club; Kits; Books,ProductsProduct Type
Products,products,Topic,topic,Stored (Picklist),,Data exists,"Science, Technology, Engineering, Mathematics",ProductsTopic
Products,products,Selectiveness,selectiveness,Stored (Picklist),,Data exists,Open Enrollment; Selective,ProductsSelectiveness
Products,products,Vendor,partner_id,Stored (Lookup to Partners),To Partners via partner_id (Zoho ID),Data exists,,ProductsVendor
Products,products,Hours per Week,hours_per_week,Stored (Number),,Data exists,,ProductsHours per Week
Products,products,Course Enrollments,(N/A),Related List (Visual),Shows course_enrollments records linked,Non-stored data,Stars enrolled in this product (if type=Course).,ProductsCourse Enrollments
Products,products,Enrichment Enrollments,(N/A),Related List (Visual),Shows enrichment_enrollments records linked,Non-stored data,Stars enrolled in this product (if type=Enrichment).,ProductsEnrichment Enrollments
