Record Id,Partner Name,Phone,Email,Website,GL Account,Partner Owner.id,Partner Owner,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Street,City,Zip Code,Country,Description,Tag,Locked,Email Opt Out,Unsubscribed Mode,Unsubscribed Time,Show Admin,Partner Type,State_,Last Activity Time
zcrm_6229020000022224034,Harold Reiter and Tyler Erb,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-01 16:21:17,2025-05-01 16:21:17,,,,,,,false,false,,,false,,,
zcrm_6229020000022224094,Pierce Institute,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-01 17:01:32,2025-05-01 17:01:32,,,,,,,false,false,,,false,,,
zcrm_6229020000022224146,NMS,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-02 13:12:41,2025-05-02 13:12:41,,,,,,,false,false,,,false,,,
zcrm_6229020000022245011,JoyLab,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-04-30 14:46:01,2025-04-30 14:46:01,,,,,,,false,false,,,false,,,
zcrm_6229020000022245041,Bulk Dominoes,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-04-30 14:49:06,2025-04-30 14:49:06,,,,,,,false,false,,,false,,,
zcrm_6229020000022245076,Science Mill,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-04-30 14:52:37,2025-04-30 14:52:37,,,,,,,false,false,,,false,,,
zcrm_6229020000022245111,Texas Science & Natural History Museum,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-04-30 14:54:45,2025-04-30 14:54:45,,,,,,,false,false,,,false,,,
zcrm_6229020000022245136,ChompShop,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-04-30 14:56:10,2025-04-30 14:56:10,,,,,,,false,false,,,false,,,
zcrm_6229020000022245166,Raddish Kids,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-04-30 15:00:50,2025-04-30 15:00:50,,,,,,,false,false,,,false,,,
zcrm_6229020000022245196,DJI Drone,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-04-30 15:28:03,2025-04-30 15:28:03,,,,,,,false,false,,,false,,,
zcrm_6229020000022874016,BGC,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-07 13:49:46,2025-05-07 13:49:46,,,,,,,false,false,,,false,,,
zcrm_6229020000023661051,Launchpad,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-13 12:04:11,2025-05-13 12:04:11,,,,,,,false,false,,,false,,,
zcrm_6229020000023902001,NISD,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-14 10:54:46,2025-05-14 10:54:46,,,,,,,false,false,,,false,,,
zcrm_6229020000024141016,Buffalo Science Museum,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-15 11:17:08,2025-05-15 11:17:08,,,,,,,false,false,,,false,,,
zcrm_6229020000024795047,makeblock,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-05-21 13:47:31,2025-05-21 13:47:31,,,,,,,false,false,,,false,,,
zcrm_6229020000024795072,Piper,,,,,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,zcrm_6229020000002061001,Zachary Chan,2025-05-21 13:48:31,2025-05-21 13:48:31,,,,,,,false,false,,,false,,,
zcrm_6229020000024799001,Proof School,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-20 15:03:46,2025-05-20 15:03:46,,,,,,,false,false,,,false,,,
zcrm_6229020000024799096,Lavner,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-21 14:55:59,2025-05-21 14:55:59,,,,,,,false,false,,,false,,,
zcrm_6229020000025313011,Coppell ISD,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-27 11:11:16,2025-05-27 11:11:16,,,,,,,false,false,,,false,,,
zcrm_6229020000025643001,Texas Tech University,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-29 09:12:17,2025-05-29 09:12:17,,,,,,,false,false,,,false,,,
zcrm_6229020000025643036,Create&Learn,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-05-29 09:40:24,2025-05-29 09:40:24,,,,,,,false,false,,,false,,,
